Employee_ID,Name,Department,Age,Experience_Years,Monthly_Salary,Performance_Score
201,Aarav,IT,25,2,35000,82
202,Diya,HR,28,4,42000,88
203,Rohan,Finance,30,6,50000,91
204,Meera,IT,26,3,38000,85
205,Arjun,Marketing,29,5,45000,79
206,Kavya,Finance,31,7,55000,94
207,Rahul,IT,,4,41000,87
208,Priya,HR,27,3,,84
209,Vikram,Marketing,32,8,60000,90
210,Ananya,IT,24,1,32000,78
211,Kiran,Finance,35,10,70000,96
212,Sneha,HR,29,5,47000,89
213,Varun,Marketing,28,4,44000,83
214,Ishita,IT,30,6,52000,92
215,Aditya,Finance,27,3,40000,86
215,Aditya,Finance,27,3,40000,86
